Coneheads	1993	5.0	16370
Confessions of a Dangerous Mind	2002	7.1	38292
Confessions of a Shopaholic	2009	5.6	17324
Confessions of a Teenage Drama Queen	2004	4.2	10448
Confidence	2003	6.8	17575
Congo	1995	4.6	18754
Conspiracy Theory	1997	6.5	37271
Constantine	2005	6.7	85454
Contact	1997	7.4	78434
Control	2007	7.8	21113
Cool Hand Luke	1967	8.3	49623
Cool Runnings	1993	6.6	26236
Cop Land	1997	6.9	36668
Cop Out	2010	5.6	23695
Copycat	1995	6.5	17789
Coraline	2009	7.8	43080
Corpse Bride	2005	7.4	66017
Couples Retreat	2009	5.4	22552
Courage Under Fire	1996	6.6	20441
Cowboy Bebop: Tengoku no tobira	2001	7.7	11409
Coyote Ugly	2000	5.3	36060
Cradle 2 the Grave	2003	5.4	15739
Crank	2006	7.1	76806
Crank: High Voltage	2009	6.3	39516
Crash	1996	6.2	22031
Crazy Heart	2009	7.4	22873
Crazy/Beautiful	2001	6.3	12546
Creepshow	1982	6.5	13374
Crimes and Misdemeanors	1989	8.0	20605
Crimson Tide	1995	7.2	34872
Crna macka, beli macor	1998	8.0	17923
Crocodile Dundee	1986	6.5	28886
Cross of Iron	1977	7.5	10140
Cruel Intentions	1999	6.8	70427
Cry-Baby	1990	6.3	19380
Cry_Wolf	2005	5.8	12726
Cube	1997	7.5	53015
Cube 2: Hypercube	2002	5.6	18682
Cube Zero	2004	5.7	12363
Cursed	2005	4.8	15143
Cutthroat Island	1995	5.3	10934
Cypher	2002	7.0	12760
Cyrano de Bergerac	1990	7.6	10067
D-War	2007	3.8	14623
D2: The Mighty Ducks	1994	5.1	10901
DOA: Dead or Alive	2006	4.8	17738
Da hong deng long gao gao gua	1991	8.2	10751
Daddy Day Care	2003	5.5	15913
Dan in Real Life	2007	6.9	37149
Dance of the Vampires	1967	7.1	11350
Dancer in the Dark	2000	7.9	38537
Dances with Wolves	1990	8.0	76215
Dangerous Liaisons	1988	7.7	26770
Dangerous Minds	1995	5.9	18040
Danny the Dog	2005	7.1	38567
Dante's Peak	1997	5.7	24801
Daredevil	2003	5.4	67562
Dark Blue	2002	6.6	11305
Dark City	1998	7.8	68034
Dark Water	2005	5.6	20978
Darkman	1990	6.3	18063
Darkness	2002	5.3	10341
Darkness Falls	2003	4.7	13734
Das Boot	1981	8.5	75252
Das Cabinet des Dr. Caligari.	1920	8.0	17670
Das Experiment	2001	7.9	26068
Das Leben der Anderen	2006	8.5	84574
Das weiße Band - Eine deutsche Kindergeschichte	2009	7.9	17413
Date Movie	2006	2.6	32938
Date Night	2010	6.4	34101
Dave	1993	6.8	21339
Dawn of the Dead	1978	8.0	44968
Dawn of the Dead	2004	7.4	79335
Day of the Dead	1985	7.0	23669
Daybreakers	2009	6.5	35252
Daylight	1996	5.5	21065
Days of Heaven	1978	8.0	13628
Days of Thunder	1990	5.5	26620
Dazed and Confused	1993	7.6	45356
Dead Again	1991	7.0	12828
Dead Calm	1989	6.9	15070
Dead Man	1995	7.7	34379
Dead Man Walking	1995	7.7	33875
Dead Man's Shoes	2004	7.8	19179
Dead Poets Society	1989	7.8	95203
Dead Ringers	1988	7.3	13342
Dead Silence	2007	6.0	20850
Dear Frankie	2004	7.9	10597
Death Becomes Her	1992	6.0	29567
Death Proof	2007	7.2	84817
Death Race	2008	6.6	45869
Death Race 2000	1975	6.1	10509
Death Sentence	2007	6.8	31592
Death Wish	1974	6.9	11102
Death at a Funeral	2007	7.3	34143
Death at a Funeral	2010	5.3	10230
Death to Smoochy	2002	6.2	23200
Deconstructing Harry	1997	7.3	17513
Deep Blue Sea	1999	5.6	46708
Deep Impact	1998	6.0	57146
Deep Rising	1998	5.7	13016
Defendor	2009	7.0	12962
Definitely, Maybe	2008	7.3	37950
Deja Vu	2006	7.0	71870
Delicatessen	1991	7.8	31552
Deliverance	1972	7.9	38142
Demolition Man	1993	6.3	49004
Dennis the Menace	1993	5.0	12786
